No,Name,Min(§Á),Average(§Á),Max(§Á),Call Count
0,roop,1.810327,1.807141,1.966715,100
1,roop in 100,0.017475,0.018452,0.041845,10000
2,roop in 10000,0.000162,0.000181,0.010068,1000000
3,roop in 1000000,0.000000,0.000000,0.001732,100000000
