No,Name,Min(§Á),Average(§Á),Max(§Á),Call Count
0,roop,1.831352,1.822870,1.950891,100
1,roop in 100,0.017586,0.018603,0.033489,10000
2,roop in 10000,0.000164,0.000183,0.007490,1000000
3,roop in 1000000,0.000000,0.000000,0.001309,100000000
